Entry	Entry name	PubMed ID
Q8TC92	ENOX1_HUMAN	19055324; 14702039; 15057823; 15489334; 11360993; 12565167; 17027975
Q8TC84	FANK1_HUMAN	12975309; 15489334; 17604233; 20978819; 27060496
P78545	ELF3_HUMAN	9234700; 9336459; 9129154; 9395241; 9417054; 10391676; 12119107; 14997048; 14702039; 17974005; 16710414; 15489334; 10644990; 10773884; 11036073; 11313868; 12032832; 12713734; 12414801; 12624109; 12682075; 14715662; 15075319; 15169914; 14767472; 15794755; 16307850; 17060315; 17467953; 18669648; 
Q7Z2Z2	EFL1_HUMAN	14702039; 17974005; 16572171; 19608861; 21269460; 21536732; 22814378; 25015090; 25991726; 26479198; 28331068
Q6ZT52	FA43B_HUMAN	14702039; 16710414; 15489334
P0DSO1	F246C_HUMAN	10591208
Q96DF8	ESS2_HUMAN	8786095; 8703114; 15461802; 10591208; 15489334; 8776594; 11991638; 18669648; 19413330; 20068231; 23186163; 28112733; 9063747
Q8IYT1	FA71A_HUMAN	16710414; 15489334
Q6ZV65	FA47E_HUMAN	14702039; 15815621
P17813	EGLN_HUMAN	8370410; 15164053; 1692830; 7894484; 1326540; 16982625; 17540773; 19159218; 21737454; 22347366; 23300529; 28564608; 9245986; 9157574; 9554745; 10545596; 10982033; 10625079; 15024723; 15712270; 16752392; 16525724; 20414677
Q8N612	F16A2_HUMAN	11214970; 12168954; 14702039; 11230166; 15489334; 18799622; 18669648; 23186163; 24275569
Q04656	ATP7A_HUMAN	8490659; 7607665; 9693104; 10079814; 15772651; 7490081; 8490646; 8490647; 11214319; 9467005; 10970802; 9147644; 10484781; 16051599; 19690332; 20068231; 21667063; 23186163; 24275569; 9437429; 10079817; 7977350; 8981948; 9246006; 10401004; 10319589; 11431706; 11241493; 11350187; 15981243; 17108763; 20170900; 22992316
P54710	ATNG_HUMAN	9048881; 11112438; 11062458; 15489334
Q96A70	AZIN2_HUMAN	11587527; 14738999; 11853319; 14702039; 16710414; 15489334; 17900240; 19756694; 19718454; 19956990; 19832840; 20188728
Q96RK4	BBS4_HUMAN	11381270; 15497446; 14702039; 16572171; 15489334; 16327777; 17574030; 18000879; 23943788; 24939912; 12016587; 15107855; 22072986; 12677556; 12872256; 15666242; 15770229; 21344540
P35226	BMI1_HUMAN	8268912; 14702039; 15164054; 15489334; 8390036; 9121482; 9199346; 12167701; 15386022; 16359901; 15897469; 16882984; 19636380; 21282530; 26151332; 16714294; 21772249; 25355358; 27827373
Q9Y2F9	BTBD3_HUMAN	10231032; 11780052; 15489334
Q86UP0	CAD24_HUMAN	12734196; 12975309; 17974005; 
Q7RTU4	BHA09_HUMAN	16625196; 14516699; 22147889; 25466284; 27041388
Q2M329	CCD96_HUMAN	14702039; 15489334; 25074808
Q01518	CAP1_HUMAN	1406678; 16710414; 15489334; 12665801; 17081983; 16807684; 19367720; 18088087; 18669648; 19413330; 19690332; 19608861; 20068231; 21269460; 21406692; 22223895; 22814378; 23186163; 24275569; 24129315; 25114211; 25944712; 15311924
Q9UBX8	B4GT6_HUMAN	9597550; 10320813; 16177791; 15489334; 3099851; 1551920; 10580128; 24498430
P49662	CASP4_HUMAN	7743998; 7797592; 7797510; 14702039; 16554811; 15489334; 11230166; 10986288; 15123740; 16893518; 18669648; 18511561; 20068231; 22246630; 22814378; 23661706; 23516580; 25121752; 24879791; 25119034; 26174085; 26173988; 26508369; 26375003; 25695505; 25964352; 28314590; 30692621
P0DPF6	CB27B_HUMAN	15815621; 15489334
Q6UW01	CBLN3_HUMAN	12975309; 15340161
O14958	CASQ2_HUMAN	14702039; 16710414; 15489334; 18669648; 21416293; 17881003; 11704930; 14571276; 15485681; 16908766; 18399795; 27157848
Q6UXQ4	CB066_HUMAN	12975309; 15489334
Q9NRJ3	CCL28_HUMAN	10781587; 10975800; 15372022; 15489334
Q02641	CACB1_HUMAN	1385409; 1309651; 7916667; 8905728; 10624822; 14702039; 15489334; 8395940; 8107964; 15615847; 16959974
P45973	CBX5_HUMAN	8505380; 14702039; 15489334; 8663349; 9169472; 10460410; 11313457; 11242053; 15502821; 15882967; 15864296; 15899859; 17081983; 18691976; 18669648; 19617346; 19710015; 19783980; 19666599; 19690332; 20850016; 19880879; 25750265; 20562864; 20498703; 20068231; 21269460; 21346195; 21406692; 22814378; 23186163; 23542155; 24275569; 25218447; 25906157; 25772364; 25755297; 28112733; 21047797; 20042602
Q9UHD1	CHRD1_HUMAN	10571178; 14702039; 16554811; 15489334; 18669648; 19413330; 20230755; 19875381; 20068231; 21269460; 21406692; 22814378; 23186163; 32053105; 
Q99741	CDC6_HUMAN	8990175; 9566895; 15489334; 14672932; 17567951; 18691976; 18320024; 18669648; 20068231; 21406692; 23711367; 23186163; 25990725; 21358632
Q7LGC8	CHST3_HUMAN	9714738; 9883891; 15489334; 15215498; 18513679; 
Q5RIA9	CBWD5_HUMAN	14702039; 15164053; 15489334
Q86X52	CHSS1_HUMAN	11514575; 10231032; 12975309; 15489334; 12716890; 12907687; 21129727; 25944712; 21129728
O43866	CD5L_HUMAN	9045627; 12975309; 14702039; 16710414; 15489334; 8034987; 11981870; 15340161; 16030018; 23236605; 24223991; 24583716; 24295828; 24275569; 24804991; 25713983
Q03188	CENPC_HUMAN	1339310; 15815621; 15489334; 9645950; 17081983; 16716197; 16622419; 17651496; 18669648; 19503796; 19482874; 19690332; 20068231; 21529714; 21406692; 23186163; 24522885; 25755297; 27499292; 28112733
Q8IZ52	CHSS2_HUMAN	12716890; 12761225; 12975309; 14702039; 15815621; 15489334; 11230166; 22082830
Q8N960	CE120_HUMAN	15372022; 15489334; 14702039; 17974005; 14654843; 23186163; 24275569; 25361962; 27185865; 27208211
P06126	CD1A_HUMAN	2701945; 2447586; 14702039; 16710414; 10488738; 2784820; 3093894; 3097645; 11231314; 16272286; 18178838; 12833155; 15723809; 25642819; 11600221
Q00526	CDK3_HUMAN	1639063; 8846921; 15084261; 18794154; 17344846
O75909	CCNK_HUMAN	9632813; 12508121; 15489334; 10574912; 17081983; 18691976; 18669648; 19369195; 20068231; 21269460; 22012619; 21406692; 23186163; 24275569; 30122539; 17169370; 24662513
Q6YHK3	CD109_HUMAN	11861284; 14980714; 16754747; 14702039; 17974005; 14574404; 11861285; 1984805; 16335952; 16263699; 19159218; 19349973; 21269460; 16959974; 25787250
P86791	CCZ1_HUMAN	10810093; 14702039; 12853948; 15489334; 17897319; 18220336; 18669648; 19413330; 21269460; 23084991; 22223895; 23186163; 29038162
P15813	CD1D_HUMAN	2467814; 2463622; 16710414; 15489334; 10488738; 3097645; 9973405; 11927549; 16818729; 17475845; 19349973; 16007090; 17581592
Q9UK58	CCNL1_HUMAN	11980906; 14702039; 16641997; 15489334; 11042152; 12975309; 12414649; 15700036; 18216018; 18220336; 18669648; 19413330; 19690332; 20068231; 21406692; 23186163; 24275569; 25755297; 28112733
O76039	CDKL5_HUMAN	9721213; 12736870; 21748340; 15772651; 8864140; 15492925; 15917271; 16935860; 18691976; 18669648; 19369195; 20068231; 23186163; 29420175; 15499549; 15689447; 16015284; 16611748; 16959974; 17344846; 18790821; 17993579; 18809835; 19253388; 19241098; 23662938; 23708187; 24564546; 25969726; 26993267; 27864847
Q8TDX6	CGAT1_HUMAN	11788602; 12163485; 12975309; 14702039; 16421571; 15489334; 17974005; 12446672; 17145758; 21160489; 27599773
P11836	CD20_HUMAN	3260267; 2448768; 2456210; 2466899; 14702039; 16554811; 15489334; 3925015; 2472394; 7684739; 12920111; 16785532; 19367720; 18474602; 20038800; 22615937; 17395584; 18346788; 21444918
Q96LP6	CL042_HUMAN	14702039; 16541075; 15489334
Q9Y2B0	CNPY2_HUMAN	10072769; 12826659; 12975309; 14702039; 15489334; 25944712
O95833	CLIC3_HUMAN	15164053; 15489334; 9880541; 17027078; 23186163; 20146363
Q9NWM3	CUED1_HUMAN	14702039; 15489334; 
Q76N32	CEP68_HUMAN	9628581; 12168954; 14702039; 15815621; 15489334; 14654843; 18042621; 18669648; 23186163; 24554434; 25704143; 25503564
Q8WV16	DCAF4_HUMAN	14702039; 12508121; 15489334; 17974005; 16949367; 16964240; 25624462
Q9UJV9	DDX41_HUMAN	10607561; 14702039; 15489334; 17974005; 11991638; 18220336; 18669648; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 25920683; 26030138; 26712909; 28112733; 20941364
Q5TB30	DEP1A_HUMAN	17452976; 16710414; 15489334; 14702039; 18669648; 20587513; 23186163; 
Q92771	DDX12_HUMAN	16541075; 9013641
Q6PJP8	DCR1A_HUMAN	7788527; 15164054; 15489334; 10848582; 12509242; 12446782; 15542852; 15572677; 18669648; 19413330; 23186163; 25755297; 28112733
Q92874	DNSL2_HUMAN	9205125; 15203207; 14702039; 15616553; 15489334; 16902420
P59665	DEF1_HUMAN	3174637; 3370315; 2918759; 8530462; 8477861; 8325384; 16421571; 15489334; 4056036; 15340161; 2917986; 2019582; 1339298; 15064728; 15616305; 21904558; 1445872; 1445873; 17452329
Q8WZ79	DNS2B_HUMAN	11700027; 11376952; 16710414; 12944971
Q96HY7	DHTK1_HUMAN	15164054; 15489334; 10997877; 17974005; 23141294; 24275569; 25944712; 23141293
Q9BVM2	DPCD_HUMAN	14702039; 15164054; 15489334; 14630615; 17974005; 21269460
