UniprotID_1,UniprotID_2
P62945,P18848
O00167,P16104
O95677,P16104
Q9NRN7,P49327
Q9Y600,Q03135
O95861,O00401
P09486,Q9H4A3
Q15113,P13497
Q8N5M1,P06576
Q9HBV1,O14862
O43745,P19634
P04271,P46940
Q9H0W8,Q96Q15
Q0VDF9,O00206
Q9NZL4,P0DMV8
Q12796,P62993
O95998,Q14116
P09871,P0C0L4
P09871,P0C0L5
O00187,P0C0L4
O00187,P0C0L5
O15211,P11233
Q13137,Q9UHD2
Q3LXA3,Q9BYX4
P28360,P04637
P51124,P06748
O95139,O75489
P03923,O75489
Q16795,O75489
Q14240,P06730
Q9P0N9,Q92574
Q5VZM2,P42345
Q5VZM2,Q8N122
Q7L523,Q8N122
Q8WXH5,O60674
Q86UT6,Q7Z434
Q96EY1,O60674
Q96EY1,O14920
Q96EY1,P25963
Q9P126,P43405
Q9UI14,P35222
Q6SZW1,Q8IUC6
P15170,Q99683
P61019,P04406
Q5VVH5,P51617
Q9C0K7,Q9Y4K3
Q9C0K7,O43318
Q9C0K7,P98170
P11047,P16144
P11047,P23229
Q13751,P23229
Q13751,P16144
O14512,P35568
O14512,P06213
Q92759,P18074
Q92759,P19447
Q92759,Q13889
Q92759,Q13888
Q92759,Q92759
Q92759,P32780
Q9ULJ6,P10275
Q13200,Q9Y297
Q969G6,P13498
Q8NET5,P43405
O75159,P24394
Q9NTX7,O95271
Q9UHB9,Q9UHB9
Q9Y5M8,Q9Y5M8
O75113,Q96J02
Q9HD42,Q9UN37
P47813,Q14152
O43809,O43809
P38117,P13804
P07357,P02748
O60683,O00623
Q8IV45,P19838
P62837,Q15796
P62837,P12757
P62837,P25963
P62837,P62877
Q8WTS1,Q96AD5
P51965,Q13485
P51965,P51965
P51965,P54253
Q92989,O94913
P61604,P10809
Q9HAV4,P62826
Q9P287,P38936
O43236,P98170
Q13889,Q13889
Q13889,P32780
Q13889,P18074
Q13889,P19447
Q13889,Q13888
P51668,O75592
P51668,P0CG47
P51668,P12757
P51668,P62877
P51668,P51668
Q86TM6,O15354
Q6VVB1,B3EWF7
Q6VVB1,O95278
P68036,O75592
P68036,Q13485
P68036,Q05086
Q96PU4,Q8WW12
Q9UL19,Q7Z434
Q5MJ70,P24941
O14618,P00441
P83876,O60828
Q96DY7,Q00987
Q75N03,P12830
Q9Y3I1,Q13490
Q5TC12,P06576
P13671,P10643
P78318,P67775
Q96KJ9,P99999
P08697,P00747
Q14181,P09884
P02748,P13987
Q8NFT6,O00311
P49796,P08754
P49796,P29992
Q99816,Q00987
Q99816,Q9UK41
P62070,O15211
P62070,O00329
P62070,P04049
