UniprotID_1,UniprotID_2,confidence
Q9Y6K1,Q13547,0.928
Q13547,Q9Y6K1,0.928
Q9C0F1,Q8NA61,0.431
Q9BX70,P04637,0.55
Q01844,P11597,0.431
P11597,Q01844,0.431
O15350,P46934,0.778
P46934,O15350,0.778
P62330,O60763,0.55
Q96L91,P01100,0.28
P10275,Q15797,0.931
O75486,Q9Y4A5,1.0
Q9Y4A5,O75486,1.0
Q96EB6,Q12778,0.971
O00203,P59780,0.986
Q9Y3S1,P63279,0.28
Q8WUZ0,O96019,0.28
O43809,Q96J02,0.778
Q96PU5,O00141,1.0
O00141,Q96PU5,1.0
Q96QU8,P37198,0.591
Q9UL03,Q96HW7,0.636
O14604,Q01844,0.431
P12532,Q14164,0.28
Q8IYB5,Q9Y5J5,0.191
O14641,Q96BN8,0.591
Q13952,Q6IQ32,0.431
Q9UHD2,Q16543,0.6
P42575,Q9C000,0.431
Q9NRR5,P54725,0.923
O75554,Q8N684,0.431
Q03113,Q8N1W1,0.28
Q9NRR5,P26885,0.6
O15198,Q14669,0.36
P52209,Q5W0Q7,0.191
Q9P2H0,O60925,0.431
Q12873,Q14790,0.431
Q14790,Q12873,0.431
P11142,Q99966,0.55
Q9BY77,Q09161,0.778
Q14790,Q14790,
Q8NFZ0,P40429,0.36
Q92769,Q96BD5,0.998
Q9H6F5,P36957,0.431
Q14164,P30084,0.28
Q00987,Q86T65,0.28
O75909,Q9NP66,0.431
O95751,Q9H8W4,0.55
Q96FW1,Q9BUQ8,0.28
Q9HC29,Q9C000,0.431
P49959,Q92878,1.0
Q8N3X1,O75051,0.36
Q13547,Q9H8N7,0.55
Q8IZL8,P06400,0.719
Q92890,Q8TAT6,1.0
Q9Y6D9,P61244,0.885
Q13535,Q99741,0.55
P50914,Q8WV24,0.824
Q86XK2,P62877,0.798
Q9Y6K9,Q15653,0.943
P36406,Q8NFF5,0.431
Q8NFF5,P36406,0.431
Q9NW61,Q14525,0.36
Q96KG7,Q9BY12,0.191
P68104,P68104,
O14908,Q9P0V3,0.36
Q92993,Q49AJ0,0.431
Q49AJ0,Q92993,0.431
Q15796,P62263,0.494
P62263,Q15796,0.494
Q13443,Q9Y5X1,0.824
Q13547,P17542,0.993
Q8N9I9,Q9Y2X8,0.431
P40763,Q04206,0.955
Q14680,Q9NWV8,0.36
Q15834,Q96GM5,0.431
O95166,Q9Y5U8,0.36
P50750,Q13535,0.778
Q92905,Q13485,0.955
Q9HAW0,P24390,0.28
O14874,Q52LJ0,0.36
P01106,O95782,0.28
Q8TDR0,Q9NRI5,0.944
Q99683,Q8TDY2,0.744
Q13950,P84022,0.928
P84022,Q13950,0.928
O43809,Q01201,0.28
O15105,Q9ULH7,0.494
P34932,Q9UBS4,0.705
Q15669,P52565,0.591
P40933,Q13261,0.885
P17097,P18124,0.824
Q99558,P62913,0.28
P11473,Q13573,0.998
O60934,P49959,1.0
Q13393,P51812,0.431
O43741,P13807,0.494
Q9Y5L4,O60220,0.995
Q9UPT5,Q9H8T0,0.431
Q9H8T0,Q9UPT5,0.431
Q13309,P62877,0.999
Q6PID8,Q9Y371,0.191
Q9H204,P06239,0.951
P53816,Q9UMX0,0.431
P41220,P07858,0.591
P01100,P07197,0.28
Q96RU3,Q9BXW4,0.28
Q8TF05,Q9NRI5,0.36
Q86UR1,Q9Y5S8,0.705
Q6VMQ6,Q9Y692,0.431
Q14574,Q9Y446,0.824
Q9Y5Q3,Q14164,0.644
Q9GZS1,Q9Y5B9,0.719
P38159,Q8IYB3,0.811
Q9P2S5,P24941,0.36
P04350,O43353,0.28
O43184,P17936,0.84
Q9Y3C7,P04792,0.431
Q09028,Q9UK53,0.935
Q15375,P55196,0.824
P55196,Q15375,0.824
Q96RN5,P54253,0.431
Q9UBE8,P37231,0.644
P27348,Q8WUI4,0.957
Q9GZN1,Q15365,0.28
