name	prize	type
P10275	1	terminal
Q92934	1	terminal
P08581	1	terminal
P42345	1	terminal
P15924	1	terminal
Q04917	1	terminal
P23229	1	terminal
Q9Y4H2	1	terminal
Q92569	1	terminal
P00533	1	terminal
P55268	1	terminal
Q15149	1	terminal
P29323	1	terminal
P27986	1	terminal
Q32MK0	1	terminal
P62258	1	terminal
P04626	1	terminal
P48736	1	terminal
Q05397	1	terminal
Q9BST9	1	terminal
P31947	1	terminal
P17252	1	terminal
Q04912	1	terminal
P07947	1	terminal
P42336	1	terminal
P63000	1	terminal
P35568	1	terminal
P08865	1	terminal
O95631	1	terminal
P56537	1	terminal
P63104	1	terminal
P08670	1	terminal
O00459	1	terminal
P00519	1	terminal
Q13153	1	terminal
O15230	1	terminal
P29353	1	terminal
P31749	1	terminal
P31946	1	terminal
A8K7I4	1	terminal
Q13541	1	terminal
Q06124	1	terminal
P25391	1	terminal
O00329	1	terminal
Q13751	1	terminal
P07942	1	terminal
Q05655	1	terminal
P11047	1	terminal
Q9UQC9	1	terminal
Q13753	1	terminal
Q9UMD9	1	terminal
Q96RT1	1	terminal
