name	prize	type
P78324	1	terminal
P13591	1	terminal
O15530	1	terminal
P42263	1	terminal
Q13554	1	terminal
Q13541	1	terminal
Q92934	1	terminal
Q9Y4K3	1	terminal
P16220	1	terminal
P62753	1	terminal
Q9UKW4	1	terminal
Q13009	1	terminal
P42261	1	terminal
P06241	1	terminal
P52735	1	terminal
O43559	1	terminal
P62993	1	terminal
P19022	1	terminal
P23560	1	terminal
Q8IVT5	1	terminal
O00459	1	terminal
P08138	1	terminal
P16870	1	terminal
P46459	1	terminal
P51812	1	terminal
P16333	1	terminal
P63244	1	terminal
P22001	1	terminal
Q6UUV9	1	terminal
O76039	1	terminal
Q06124	1	terminal
Q92529	1	terminal
Q8IZD9	1	terminal
P27986	1	terminal
P67809	1	terminal
Q9Y4H2	1	terminal
Q16288	1	terminal
P78536	1	terminal
P67775	1	terminal
Q99523	1	terminal
P01138	1	terminal
P35568	1	terminal
P42262	1	terminal
Q96S59	1	terminal
P17600	1	terminal
P31749	1	terminal
Q96FE5	1	terminal
P35222	1	terminal
Q9Y3R0	1	terminal
P19174	1	terminal
P29353	1	terminal
O75582	1	terminal
Q6S5L8	1	terminal
Q9P104	1	terminal
P28482	1	terminal
CDKR1	1	terminal
Q8WU20	1	terminal
