name	prize	type
O43255	1	terminal
Q16576	1	terminal
Q13163	1	terminal
Q9H706	1	terminal
P41240	1	terminal
P23458	1	terminal
P28482	1	terminal
P20339	1	terminal
O00329	1	terminal
Q15139	1	terminal
Q8NFH8	1	terminal
Q07666	1	terminal
P10644	1	terminal
Q6P1N0	1	terminal
P05787	1	terminal
P18085	1	terminal
P11234	1	terminal
P17676	1	terminal
P62834	1	terminal
P51812	1	terminal
P29350	1	terminal
P16220	1	terminal
O15357	1	terminal
P10398	1	terminal
P49715	1	terminal
Q07890	1	terminal
O14733	1	terminal
P42224	1	terminal
P46108	1	terminal
Q15256	1	terminal
P05129	1	terminal
Q8NEU8	1	terminal
Q9NP31	1	terminal
Q9UQM7	1	terminal
P40763	1	terminal
P56945	1	terminal
Q8WU20	1	terminal
P17535	1	terminal
P08047	1	terminal
P12830	1	terminal
P15056	1	terminal
O75582	1	terminal
Q04206	1	terminal
O15162	1	terminal
Q9Y6R4	1	terminal
P34932	1	terminal
Q99558	1	terminal
Q16667	1	terminal
P41743	1	terminal
Q9Y6I3	1	terminal
O75886	1	terminal
Q8NFM7	1	terminal
Q99700	1	terminal
P45983	1	terminal
P01116	1	terminal
P46109	1	terminal
O43639	1	terminal
P63104	1	terminal
P01100	1	terminal
Q9ULH1	1	terminal
P36542	1	terminal
O60674	1	terminal
P49023	1	terminal
O14593	1	terminal
Q9UJM3	1	terminal
Q8N5H7	1	terminal
P53680	1	terminal
P63010	1	terminal
P25098	1	terminal
Q00535	1	terminal
Q00169	1	terminal
Q03135	1	terminal
O14901	1	terminal
O14939	1	terminal
P42345	1	terminal
P78536	1	terminal
O14964	1	terminal
P27361	1	terminal
O60716	1	terminal
P42336	1	terminal
P01112	1	terminal
Q05655	1	terminal
P62316	1	terminal
Q9Y2U5	1	terminal
Q07912	1	terminal
P31946	1	terminal
Q13393	1	terminal
P51692	1	terminal
P42566	1	terminal
O43559	1	terminal
Q9P0J0	1	terminal
Q9H4A3	1	terminal
Q13882	1	terminal
P01133	1	terminal
Q13363	1	terminal
Q9ULV8	1	terminal
Q9Y6X2	1	terminal
P37840	1	terminal
P55211	1	terminal
P08729	1	terminal
Q16513	1	terminal
Q04695	1	terminal
O60496	1	terminal
O14543	1	terminal
Q13233	1	terminal
P98177	1	terminal
Q9Y6Q9	1	terminal
O95782	1	terminal
Q14289	1	terminal
P46734	1	terminal
Q05209	1	terminal
Q13153	1	terminal
P17252	1	terminal
P62993	1	terminal
O00291	1	terminal
P19419	1	terminal
P30086	1	terminal
Q15349	1	terminal
O15530	1	terminal
Q96J02	1	terminal
P15498	1	terminal
Q13547	1	terminal
Q06124	1	terminal
P00533	1	terminal
P22681	1	terminal
P54829	1	terminal
P19174	1	terminal
Q99759	1	terminal
Q96B97	1	terminal
O14929	1	terminal
O94776	1	terminal
Q15418	1	terminal
P11233	1	terminal
Q96D71	1	terminal
P05412	1	terminal
Q14254	1	terminal
Q9P212	1	terminal
Q92738	1	terminal
Q13164	1	terminal
P21860	1	terminal
P48736	1	terminal
P29353	1	terminal
Q6R327	1	terminal
Q92918	1	terminal
P04626	1	terminal
Q15311	1	terminal
P61764	1	terminal
O43707	1	terminal
Q92569	1	terminal
Q15583	1	terminal
Q92625	1	terminal
P31749	1	terminal
O95630	1	terminal
P42858	1	terminal
Q13191	1	terminal
P05771	1	terminal
O75955	1	terminal
O15492	1	terminal
Q9Y2X7	1	terminal
P10911	1	terminal
P20936	1	terminal
Q8IZP0	1	terminal
Q99963	1	terminal
O00401	1	terminal
Q05513	1	terminal
Q16539	1	terminal
P36507	1	terminal
P07355	1	terminal
P46934	1	terminal
P51636	1	terminal
Q9UBC2	1	terminal
P84022	1	terminal
Q8IVT5	1	terminal
P10586	1	terminal
P16333	1	terminal
Q6WCQ1	1	terminal
O75368	1	terminal
P19838	1	terminal
P60953	1	terminal
Q13480	1	terminal
P18846	1	terminal
Q99962	1	terminal
O15524	1	terminal
P42229	1	terminal
Q15149	1	terminal
P13688	1	terminal
