name	prize	type
Q9NRP7	1	terminal
P08151	1	terminal
P10070	1	terminal
Q15648	1	terminal
Q92793	1	terminal
P32121	1	terminal
P54826	1	terminal
Q99835	1	terminal
P62258	1	terminal
Q96ST3	1	terminal
O75586	1	terminal
Q5VTY9	1	terminal
O00422	1	terminal
P25098	1	terminal
Q15465	1	terminal
P49336	1	terminal
P35222	1	terminal
Q9Y6C5	1	terminal
P10071	1	terminal
Q9ULK4	1	terminal
Q14623	1	terminal
Q96QV1	1	terminal
Q13635	1	terminal
Q15797	1	terminal
O43323	1	terminal
Q86VH2	1	terminal
Q4KMG0	1	terminal
Q13627	1	terminal
