name	prize	type
P24394	1	terminal
P43405	1	terminal
P78552	1	terminal
P17676	1	terminal
P15336	1	terminal
Q06187	1	terminal
O00329	1	terminal
Q06124	1	terminal
P31785	1	terminal
P27986	1	terminal
O15524	1	terminal
P42226	1	terminal
P62993	1	terminal
Q92793	1	terminal
Q92934	1	terminal
P61073	1	terminal
Q71DI3	1	terminal
P14921	1	terminal
Q16539	1	terminal
P29353	1	terminal
Q07889	1	terminal
Q92835	1	terminal
Q05513	1	terminal
Q15759	1	terminal
P35225	1	terminal
O60496	1	terminal
P23458	1	terminal
Q9Y6Q9	1	terminal
P28482	1	terminal
P29350	1	terminal
P42336	1	terminal
O00459	1	terminal
Q16695	1	terminal
P16885	1	terminal
Q09472	1	terminal
Q9UQC2	1	terminal
P20936	1	terminal
P35626	1	terminal
P35568	1	terminal
P07332	1	terminal
Q07817	1	terminal
Q04206	1	terminal
Q7KZF4	1	terminal
O75159	1	terminal
P19838	1	terminal
P49715	1	terminal
