name	prize	type
P48357	1	terminal
Q12778	1	terminal
P16070	1	terminal
P60484	1	terminal
P51692	1	terminal
P04626	1	terminal
Q05655	1	terminal
O60674	1	terminal
P19174	1	terminal
P12931	1	terminal
Q9Y4H2	1	terminal
P52333	1	terminal
P03372	1	terminal
Q00535	1	terminal
Q9NSE2	1	terminal
P35568	1	terminal
P08069	1	terminal
Q14432	1	terminal
P40763	1	terminal
P08047	1	terminal
P41159	1	terminal
Q04206	1	terminal
Q15788	1	terminal
P18084	1	terminal
P06241	1	terminal
P27986	1	terminal
P30101	1	terminal
P18031	1	terminal
P27361	1	terminal
P29353	1	terminal
P42229	1	terminal
O14654	1	terminal
Q9NRF2	1	terminal
P49841	1	terminal
Q9Y6K9	1	terminal
O14508	1	terminal
P31749	1	terminal
Q02750	1	terminal
Q13950	1	terminal
P18846	1	terminal
O14543	1	terminal
P02741	1	terminal
P62993	1	terminal
Q07666	1	terminal
