name	prize	type
P63208	1	terminal
Q92585	1	terminal
P19838	1	terminal
Q96J02	1	terminal
Q8WW43	1	terminal
Q13642	1	terminal
P31749	1	terminal
Q96T58	1	terminal
O00548	1	terminal
O00459	1	terminal
P15923	1	terminal
Q13573	1	terminal
Q96HZ4	1	terminal
Q13547	1	terminal
P40763	1	terminal
P49841	1	terminal
Q5TA89	1	terminal
P05067	1	terminal
Q96BI3	1	terminal
P48544	1	terminal
Q04721	1	terminal
P27361	1	terminal
Q13616	1	terminal
Q06413	1	terminal
P49768	1	terminal
Q8IZL2	1	terminal
Q14469	1	terminal
Q92831	1	terminal
Q9NYJ7	1	terminal
P78537	1	terminal
P48745	1	terminal
O75446	1	terminal
Q09472	1	terminal
P46531	1	terminal
P25490	1	terminal
O60674	1	terminal
Q92542	1	terminal
O14672	1	terminal
Q99466	1	terminal
Q13309	1	terminal
P28482	1	terminal
Q9Y219	1	terminal
Q9UBP5	1	terminal
P27986	1	terminal
P84022	1	terminal
P78536	1	terminal
P06239	1	terminal
Q9NR61	1	terminal
P78504	1	terminal
Q9UM47	1	terminal
P62877	1	terminal
P49810	1	terminal
Q96ST3	1	terminal
Q969H0	1	terminal
Q9UJU2	1	terminal
Q12860	1	terminal
Q9GZL7	1	terminal
P09958	1	terminal
