name	prize	type
P42224	1	terminal
P40763	1	terminal
P46527	1	terminal
P62993	1	terminal
Q14289	1	terminal
P24941	1	terminal
Q99650	1	terminal
P49023	1	terminal
P01112	1	terminal
P42702	1	terminal
P40189	1	terminal
Q9Y6X2	1	terminal
Q6R327	1	terminal
Q09472	1	terminal
Q06413	1	terminal
P04049	1	terminal
P12931	1	terminal
P29597	1	terminal
O60674	1	terminal
P27986	1	terminal
P42345	1	terminal
P23458	1	terminal
Q07889	1	terminal
P31749	1	terminal
P29353	1	terminal
P17676	1	terminal
P04626	1	terminal
P18146	1	terminal
P51692	1	terminal
P01100	1	terminal
