name	prize	type
P16471	1	terminal
P05556	1	terminal
Q15303	1	terminal
O60674	1	terminal
Q9HC77	1	terminal
Q13469	1	terminal
P49069	1	terminal
Q14527	1	terminal
Q09472	1	terminal
P18031	1	terminal
P63104	1	terminal
P05204	1	terminal
Q9UQC2	1	terminal
P10242	1	terminal
P29350	1	terminal
P52735	1	terminal
Q13153	1	terminal
P49023	1	terminal
P17706	1	terminal
P23284	1	terminal
O14508	1	terminal
P12931	1	terminal
O15524	1	terminal
P15498	1	terminal
P48736	1	terminal
P67775	1	terminal
P51692	1	terminal
O14543	1	terminal
P35568	1	terminal
Q07889	1	terminal
P00749	1	terminal
P21333	1	terminal
P43403	1	terminal
P51956	1	terminal
Q06124	1	terminal
Q99490	1	terminal
P23443	1	terminal
P04049	1	terminal
P62937	1	terminal
P16333	1	terminal
P42229	1	terminal
P78324	1	terminal
Q9Y297	1	terminal
Q9Y6X2	1	terminal
Q92793	1	terminal
Q9UKB1	1	terminal
P05121	1	terminal
P07948	1	terminal
P01236	1	terminal
P42224	1	terminal
O14512	1	terminal
P42680	1	terminal
P06241	1	terminal
P42336	1	terminal
P50570	1	terminal
P62993	1	terminal
