UniprotID_1,UniprotID_2
A0A0B4J2H0,P04209
A0A5B4,A0A5B4
A0A5B9,P01848
A0FGR8,A0FGR8
A0JD37,A0JD37
A1Z1Q3,A1Z1Q3
A2NI60,A2NI60
A2RUC4,A2RUC4
A4D2B0,A4D2B0
A4UGR9,O76041
A5YKK6,A5YKK6
A5YKK6,O75175
A5YKK6,P26196
A5YKK6,P26651
A5YKK6,Q8WY41
A5YKK6,Q92600
A5YKK6,Q9NRA8
A5YKK6,Q9NZN8
A6NCL1,A6NCL1
A6NK44,A6NK44
A6NLU0,A6NLU0
A7KAX9,A7KAX9
A8K008,S6BGD6
A8K4Y7,Q9H0M4
A8K8P3,P41208
A8MT69,A8MT69
A8MT69,Q8N2Z9
A8MYU2,A8MYU2
B2R7U1,P29317
B2RXH2,B2RXH2
C6KXN3,C6KXN3
D3W0D1,Q6UVW9
D6RGH6,O75496
D7PBN4,D7PBN4
O00159,O00159
O00159,P62158
O00167,O00167
O00170,O00170
O00170,P07900
O00170,Q15388
O00180,O00180
O00182,O00182
O00187,O00187
O00189,P05067
O00194,O00194
O00206,O00206
O00206,Q9Y6Y9
O00213,O00213
O00213,P05067
O00213,Q8N8S7
O00214,O00214
O00214,Q13137
O00238,O00238
O00238,P62942
O00244,O00244
O00244,Q04656
O00255,O00255
O00255,P17535
O00255,Q03164
O00257,O00257
O00267,P63272
O00268,O00268
O00268,Q16514
O00273,O76075
O00287,P48382
O00291,O00291
O00294,O00294
O00299,O00299
O00300,O14788
O00311,O00311
O00311,Q9UBU7
O00327,O15516
O00338,O00338
O00391,O00391
O00399,O00399
O00401,P06396
O00401,Q6XZF7
O00408,O00408
O00423,O00423
O00429,O00429
O00444,O00444
O00444,O94986
O00444,Q15468
O00459,O00459
O00470,O60479
O00481,O00481
O00482,O00482
O00482,P35222
O00482,Q15466
O00482,Q15596
O00499,O00499
O00499,P01106
O00506,Q9BUL8
O00506,Q9Y376
O00512,O00512
O00512,Q9Y3Y4
O00522,O00522
O00522,O14713
O00522,P61224
O00522,Q9ULI3
O00560,O00560
O00560,P31431
O00560,Q01344
O00571,O00571
O00602,O00602
O00746,O00746
O00755,Q6P988
O00757,O00757
O00762,O00762
O00762,Q9UJX6
O00763,O00763
O00764,O00764
O14492,O14492
O14508,Q15369
O14508,Q15370
O14508,Q93034
O14519,O14519
O14522,O14522
O14544,P10721
O14556,O14556
O14593,O14593
O14593,P48382
O14593,P56524
O14593,Q2KHR2
O14607,O14607
O14618,O14618
O14641,O14641
O14646,O14646
O14646,O60341
O14646,P68431
O14653,O94855
O14684,O14684
O14686,P61964
O14727,O14727
O14727,P55211
O14732,O14732
O14744,P62805
O14744,Q9BQA1
O14746,P52294
O14757,O14757
