UniprotID_1,UniprotID_2
A0AVT1,O15205
A0AVT1,P0CG48
A2IXV5,P17693
A2IXV5,P30512
A2IXV5,Q31612
A2RTX5,B2RDX5
A2RTX5,P26639
A4D0P7,Q13416
A4D1F7,O14713
A5YKK6,Q9UFF9
A8K031,Q9BZD4
A8K147,P21802
A8K3H3,F1D8Q5
A8K3H3,F1D8Q7
A8K3H3,P28702
A8K3H3,P48443
A8K3H3,Q15788
A8K5I0,Q9UNE7
A8K6V0,Q15437
B2R8T5,B2R8T5
B2R8Y4,O43707
B2R8Y4,P12814
B2RC52,Q15842
B2RCZ4,Q9BYG5
B2RDW1,Q969T4
B2RDW1,Q9HCE7
B2RDW1,Q9Y3C5
B4DG32,O43281
B4DJ51,O00555
B4DJ51,O15554
B4DJ51,Q9HD67
B4DJ51,Q9UM54
B4DRS2,O76015
B4DRS2,P13646
B4DRS2,P19012
B4DRS2,Q14525
B4DRS2,Q6A162
B4DWZ4,P12004
B4DXH2,P62330
B4DXH2,P63000
B4DXY4,Q96BR9
B7Z2P9,B7Z2P9
B7Z2P9,P37088
B7Z6F6,P40424
B7Z8H0,Q13416
E9KL30,P28074
F1D8N5,F1D8N5
F1D8N5,O75376
F1D8N5,Q9Y618
F1D8N7,F1D8Q5
F1D8N7,F1D8Q7
F1D8N7,O75376
F1D8N7,P28702
F1D8N7,P48443
F1D8N7,Q15596
F1D8N7,Q15788
F1D8P8,F1D8Q5
F1D8P8,F1D8Q7
F1D8P8,P28702
F1D8P8,P48443
F1D8P8,P55055
F1D8P8,Q15596
F1D8P8,Q15788
F1D8Q4,Q15466
F1D8Q4,Q15788
F1D8Q5,F1D8S7
F1D8Q5,O75469
F1D8Q5,P08235
F1D8Q5,P10827
F1D8Q5,P11473
F1D8Q5,P13631
F1D8Q5,P43354
F1D8Q5,P55055
F1D8Q5,Q03181
F1D8Q5,Q13133
F1D8Q5,Q15466
F1D8Q5,Q15596
F1D8Q5,Q96RI1
F1D8Q5,Q9Y618
F1D8Q7,F1D8S4
F1D8Q7,O75469
F1D8Q7,P10276
F1D8Q7,P10826
F1D8Q7,P11473
F1D8Q7,P13631
F1D8Q7,P55055
F1D8Q7,Q03181
F1D8Q7,Q13133
F1D8Q7,Q96RI1
F1D8Q7,Q9Y618
F1D8R5,P11474
F1D8R5,Q9UBK2
F1D8S6,Q9Y618
F1D8S7,P28702
F1D8S7,P48443
F1D8T1,P48552
F1D8T1,Q15466
G2XKQ0,G2XKQ0
G2XKQ0,O75928
G2XKQ0,P63165
G2XKQ0,P63279
G2XKQ0,Q9UBT2
H9NIM3,P49116
O00139,O00139
O00141,O15530
O00141,Q9HC98
O00148,O00148
O00148,Q13838
O00161,O75558
O00161,O95183
O00161,P32856
O00161,P54920
O00161,Q12846
O00161,Q13277
O00161,Q16623
O00161,Q53YE2
O00161,Q9BV40
O00161,Q9H115
O00186,Q12846
O00194,Q9BV36
O00204,O00204
O00204,O43704
O00204,P49888
O00204,P50225
O00213,Q06481
O00220,P50591
O00221,Q04206
O00221,Q8IWZ3
O00238,P12643
O00238,P12644
O00238,P22004
O00238,P36897
O00238,P43026
O00238,P68106
O00238,Q13873
O00244,P35670
O00291,O75146
O00300,P50591
O00305,O00305
O00305,O00555
O00308,O00308
O00308,O15105
O00308,P0CG48
O00308,P84022
O00308,Q15796
O00308,Q15797
O00327,Q16665
O00327,Q99743
O00327,Q99814
O00330,Q15119
O00401,P60953
O00401,Q9H4E5
O00459,P08581
O00459,P10747
O00459,P62993
O00463,O00463
O00463,P25942
O00463,P28908
O00463,Q13114
O00463,Q9Y4K3
O00470,O43248
O00470,O43763
O00470,P31269
O00470,P31314
O00470,P35453
O00470,Q04743
O00482,P48552
O00482,Q15788
O00487,P51665
O00505,Q9UKX7
O00506,O00506
O00512,Q9BRQ0
O00548,Q9UM47
O00555,P62158
O00555,Q9BRL5
O00555,Q9NZU7
O00571,Q31612
O00629,Q9UKX7
O00631,Q7Z675
O00635,O00635
O00716,P06400
O00716,Q14186
O00716,Q14188
O00746,P15531
O00746,P22392
O00757,P09467
O00762,P22314
O14492,P04626
O14492,P06213
O14492,P08581
O14492,P62993
O14511,P21860
O14511,Q15303
O14531,Q16555
O14531,Q59GB4
O14543,O60674
O14543,P08581
O14543,P23458
O14576,P63172
O14576,Q6FGH9
O14576,Q96FJ2
O14578,P61586
O14579,P53621
O14618,V9HWC9
O14662,O95183
O14662,Q12846
O14662,Q9H115
O14727,P99999
O14732,P29218
O14733,Q5S007
O14745,O14745
O14745,P15311
O14745,P35240
O14746,P30512
O14770,P40424
O14775,O94810
O14775,P49802
O14775,P50150
O14775,P59768
O14775,P63215
O14795,Q86UR5
O14798,P50591
O14807,Q8N4Y1
O14813,O14813
O14818,O14818
O14818,P25786
O14818,P25787
O14818,P25788
O14818,P28065
O14818,P60900
O14829,O14829
O14836,Q9Y275
O14879,O14879
O14879,P09913
O14879,P09914
O14879,Q13325
O14908,O14908
O14920,O15111
O14933,Q05086
O14933,Q9ULV8
O14936,Q12959
O14936,Q9BZL6
O14948,P19532
O14950,O43293
O14964,O75886
O14974,V9HWF0
O14978,Q8NBB4
O14978,Q9NWS9
O15020,P61163
O15055,O15534
O15055,Q16526
O15055,Q49AN0
O15062,O15156
O15068,P60953
O15068,P63000
O15084,O15084
O15084,O95271
O15084,P20749
O15084,Q01484
O15084,Q04721
O15084,Q96KQ7
O15084,Q9BZF9
O15084,Q9H2K2
O15084,Q9P2R3
O15084,Q9ULJ7
O15084,Q9UM47
O15084,Q9UPS8
O15085,O43157
O15085,P60953
O15111,O15111
O15116,P62310
O15116,P62312
O15116,Q9Y333
O15116,Q9Y4Z0
O15131,Q9UKX7
O15143,O15144
O15143,O15511
O15143,P59998
O15143,P61160
O15143,Q1KLZ0
O15144,P59998
O15144,P61158
O15145,P61158
O15156,P41182
O15160,Q9Y2S0
O15198,P84022
O15198,Q13485
O15198,Q15796
O15211,P01111
O15211,P01112
O15211,P01116
O15211,P61224
O15217,P09210
O15264,P15336
O15344,O15344
O15344,Q6GX22
O15344,Q9UJV3
O15350,Q9H3D4
O15379,O75376
O15379,Q13547
O15400,O95721
O15400,P51809
O15400,Q12846
O15400,Q9UEU0
O15481,P43361
O15488,P13807
O15488,P54840
O15492,P04899
O15492,P08754
O15492,P09471
O15492,P11488
O15511,P59998
O15511,P61160
O15516,Q8WYA1
O15519,P42574
O15519,Q92851
O15524,O60674
O15525,O15525
O15525,O60675
O15530,P23443
O15530,P31749
O15530,Q02156
O15530,Q05513
O15530,Q05655
O15530,Q15418
O15530,Q9Y243
O15534,Q16526
O15534,Q49AN0
O15535,Q9NWS9
O15554,P62158
O43150,P06241
O43150,P16333
O43150,P19174
O43150,P62993
O43150,Q15811
O43150,Q5JPT6
O43150,Q96B97
O43167,O43298
O43167,Q96BR9
O43167,Q9H165
O43167,Q9UIH9
O43255,O94966
O43281,P56945
O43281,Q8N5H7
O43296,Q9Y473
O43298,O43298
O43298,Q8TAU3
O43309,O43309
O43309,Q8WTR7
O43309,Q96IT1
O43309,Q9NX65
O43309,Q9P0L1
O43318,P45985
O43365,Q9H161
O43439,O43439
O43439,Q06455
O43463,P45973
O43463,P68431
O43463,P83916
O43463,V9HWG0
O43488,O95154
O43502,Q06609
O43521,P10415
O43521,Q92843
O43525,O43525
O43525,O43526
O43541,Q15797
O43557,P36941
O43566,P08754
O43567,P51668
O43567,P51965
O43567,P61077
O43567,P61088
O43567,P62837
O43567,Q969T4
O43567,Q9Y2X8
O43567,V9HW41
O43572,P10644
O43639,O94875
O43639,Q13094
O43639,Q13191
O43639,Q13802
O43639,Q9NYB9
O43639,Q9NZQ3
O43639,Q9P2A4
O43679,P61968
O43680,P15923
O43680,P61968
O43680,Q99081
O43704,Q06520
O43707,Q08043
O43711,Q9BPY8
O43741,P54646
O43747,P56377
O43752,Q12846
O43790,P19012
O43837,P50213
O43913,Q13416
O43913,Q9UBD5
O43918,O43918
O43924,P36404
O43924,P36405
O43924,Q53YD8
O43929,Q13416
O43933,Q13608
O60229,Q9BZL6
O60231,Q92620
O60238,O60238
O60238,Q12983
O60239,P45984
O60260,P0CG48
O60260,P68036
O60262,P62873
O60262,P62879
O60383,O95972
O60383,P36894
O60504,O60504
O60504,Q13191
O60504,Q9NZQ3
O60516,O60573
O60516,P06730
O60516,Q53RG0
O60516,Q59FE1
O60565,O60565
O60583,P50750
O60610,P61586
O60674,P00533
O60674,P04049
O60674,P08069
O60674,P10721
O60674,P21860
O60674,P27986
O60674,Q59F04
O60674,Q59FK4
O60674,Q658W2
O60684,Q9UKX7
O60741,O60741
O60741,Q9UL51
O60749,Q13596
O60763,O60763
O60861,O60861
O60861,Q9BY11
O60879,P60953
O60880,Q14155
O60896,Q16602
O75081,O75081
O75150,O75150
O75150,Q5VTR2
O75154,P57735
O75154,Q15907
O75340,Q9UBV8
O75348,P36543
O75351,Q9HD42
O75351,Q9UN37
O75376,P10275
O75376,P10827
O75376,P10828
O75376,P11473
O75376,P37231
O75376,P55055
O75376,Q03181
O75376,Q13133
O75376,Q13227
O75376,Q14995
O75379,O95721
O75379,Q12846
O75381,O75381
O75444,O75444
O75446,Q96ST3
O75461,Q14186
O75461,Q14188
O75469,P28702
O75469,P48443
O75469,Q5STP9
O75525,Q07666
O75525,Q5VWX1
O75530,Q15910
O75558,O75558
O75558,P60880
O75558,P61764
O75581,Q9UBU2
O75582,Q16539
O75593,P55316
O75607,Q86SE8
O75676,O75676
O75676,Q16539
O75695,P36405
O75791,Q9UQC2
O75815,Q14511
O75832,P43686
O75865,Q86SZ2
O75886,Q13094
O75886,Q9NYB9
O75888,Q02223
O75909,P24941
O75909,P50750
O75909,Q07002
O75909,Q59G02
O75914,O75914
O75914,P60953
O75914,P63000
O75928,P61956
O76003,Q9Y3E2
O76015,P02538
O76015,P04259
O76015,P05787
O76015,P13647
O76015,P19013
O76015,P35908
O76015,P48668
O76015,P78385
O76015,Q14533
O76015,Q3SY84
O76015,Q5XKE5
O76015,Q7L4M3
O76064,P62837
O76081,P04899
O76081,P08754
O76081,P19086
O76081,P63096
O94806,P49840
O94855,Q15437
O94868,Q15811
O94868,Q9NZM3
O94875,O94875
O94921,O94921
O94953,O94953
O94973,P49418
O95067,P06493
O95067,P24941
O95125,Q8WTR7
O95150,Q93038
O95154,V9HWA2
O95183,Q12846
O95198,Q13618
O95198,Q53G59
O95199,O95199
O95201,P19544
O95231,O95231
O95352,P60520
O95382,Q99683
O95390,Q13705
O95398,P62834
O95622,O95622
O95628,P51965
O95628,P61077
O95628,P61088
O95628,Q969T4
O95628,Q9Y2X8
O95628,V9HW41
O95630,P0CG48
O95631,Q92859
O95670,P36543
O95704,P05067
O95704,Q06481
O95716,Q9UNE2
O95721,P23763
O95721,P63027
O95721,Q86Y82
O95777,P62312
O95777,P62314
O95777,Q9Y333
O95777,Q9Y4Z0
O95810,O95810
O95816,O95816
O95816,P11142
O95816,V9HW22
O95817,P0DMV9
O95817,P11142
O95817,Q96B67
O95817,V9HW22
O95819,Q02156
O95897,O95897
O95983,Q8WXI9
O96004,O96004
O96004,P15923
O96004,P61296
O96013,P60953
O96015,Q96FJ2
O96017,P53350
O96017,Q14676
O96017,Q9H4B4
O96020,P24941
O96028,P68431
P00338,P07195
P00352,P05091
P00403,Q31612
P00492,Q9NRG1
P00505,P00505
P00519,P00533
P00519,P04626
P00519,P04629
P00519,P06241
P00519,P10721
P00519,P12931
P00519,P16333
P00519,P21860
P00519,P27986
P00519,P29074
P00519,P62993
P00519,Q15303
P00519,Q9NZQ3
P00533,P04049
P00533,P07332
P00533,P07948
P00533,P07949
P00533,P08631
P00533,P12931
P00533,P16234
P00533,P16591
P00533,P35070
P00533,P35568
P00533,P41240
P00533,P42684
P00533,P42685
P00533,P43403
P00533,P43405
P00533,P51451
P00533,P51813
P00533,P98077
P00533,Q02297
P00533,Q05397
P00533,Q07912
P00533,Q08881
P00533,Q13882
P00533,Q15303
P00533,Q16620
P00533,Q59FK4
P00533,Q658W2
P00533,Q7Z6G8
P00533,Q92625
P00540,P06241
P00734,P05154
P00734,P22891
P00734,Q59GZ8
P00736,P09871
P00742,P10646
P00742,Q9UK55
P00747,Q59GZ8
P00750,Q99574
P00751,V9HWA9
P00813,P27487
P01009,P35030
P01009,Q9UNI1
P01011,P08246
P01011,P20151
P01011,Q99895
P01011,Q9UNI1
P01019,P01019
P01019,Q9BYF1
P01033,P08253
P01033,P14780
P01034,P25774
P01100,P17275
P01100,P17535
P01100,Q9Y5Q3
P01106,P52292
P01111,P04049
P01111,Q9P212
P01112,P10398
P01112,P15056
P01112,Q07890
P01112,Q12967
P01112,Q8N4Y1
P01112,Q8WWW0
P01112,Q9NS23
P01112,Q9NZL6
P01116,P04049
P01116,P10398
P01116,Q12967
P01116,Q8N4Y1
P01127,P16234
P01130,Q5SW96
P01135,P01135
P01138,P08138
P01160,Q60I31
P01215,P01222
P01308,P30512
P01344,P08833
P01344,P18065
P01344,P22692
P01344,P24592
P01344,P24593
P01374,Q92956
P01563,Q6PIL8
P01574,P17181
P01732,P17693
P01732,P30512
P01732,Q29963
P01732,Q31612
P01834,Q31612
P01848,Q31612
P01857,Q6PIQ7
P01871,Q6PIL8
P01909,P01909
P01920,P01920
P02008,P02042
P02042,P09105
P02489,P02489
P02489,P02511
